observation_type,label,time_local_eest,time_utc,ts_utc_ms,lat,lon,accuracy_m,session_id,device_id
poor_surface,Poor surface material,2026-08-26 11:47:53,2026-08-26T08:47:53Z,1787734073659,58.3781334,24.5019582,4.400000095367432,826f022d-c4e8-4548-adca-4d56988d0aae,device_e7atfmfs64d
lamppost,Lamppost in path,2026-08-26 11:48:06,2026-08-26T08:48:06Z,1787734086234,58.3781693,24.5019457,3,826f022d-c4e8-4548-adca-4d56988d0aae,device_e7atfmfs64d
tree_roots,Tree roots,2026-08-26 11:48:27,2026-08-26T08:48:27Z,1787734107965,58.3782691,24.5020664,3.796999931335449,826f022d-c4e8-4548-adca-4d56988d0aae,device_e7atfmfs64d
poor_surface,Poor surface material,2026-08-26 11:48:50,2026-08-26T08:48:50Z,1787734130751,58.378381,24.5022367,2.700000047683716,826f022d-c4e8-4548-adca-4d56988d0aae,device_e7atfmfs64d
raised_manhole,Raised manhole cover,2026-08-26 11:51:05,2026-08-26T08:51:05Z,1787734265295,58.3796791,24.5030825,3,826f022d-c4e8-4548-adca-4d56988d0aae,device_e7atfmfs64d
raised_manhole,Raised manhole cover,2026-08-26 11:51:52,2026-08-26T08:51:52Z,1787734312257,58.3800397,24.5019748,4.28000020980835,826f022d-c4e8-4548-adca-4d56988d0aae,device_e7atfmfs64d
raised_manhole,Raised manhole cover,2026-08-26 11:56:08,2026-08-26T08:56:08Z,1787734568298,58.3774349,24.5098147,3,826f022d-c4e8-4548-adca-4d56988d0aae,device_e7atfmfs64d
poor_surface,Poor surface material,2026-08-26 11:56:23,2026-08-26T08:56:23Z,1787734583492,58.3773463,24.5099596,3.2660000324249268,826f022d-c4e8-4548-adca-4d56988d0aae,device_e7atfmfs64d
poor_surface,Poor surface material,2026-08-26 11:57:20,2026-08-26T08:57:20Z,1787734640116,58.3768709,24.511491,3.8340001106262207,826f022d-c4e8-4548-adca-4d56988d0aae,device_e7atfmfs64d
difficult_curb,Difficult curb,2026-08-26 11:58:06,2026-08-26T08:58:06Z,1787734686348,58.3764694,24.5125833,4.377999782562256,826f022d-c4e8-4548-adca-4d56988d0aae,device_e7atfmfs64d
